"id","module","logType","enableAssert","blockOnErrorAssert","abortCompilation","messageTemplate","paramCount","fixHint"
"10037","FileMeta","Error","true","false","false","Error 不支持表达式类型!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10038","FileMeta","Error","true","false","false","Error 前边节点没有发现MetaBase!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10039","FileMeta","Error","true","true","false","Error 在Array.后边如果使用变量或者是数字常量，必须使用Array.$方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10040","FileMeta","Error","true","false","false","Error 不允许global的函数形式!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10041","FileMeta","Error","true","false","false","Error  不允许 使用global 只有第一位置可以使用This关键字","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10042","FileMeta","Error","true","false","false","Error 不允许new是非函数形式出现!!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10043","FileMeta","Error","true","false","false","Error 没有前置定义类型!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10044","FileMeta","Error","true","false","false","Error 没有找到 关于类中","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10045","FileMeta","Error","true","false","false","Error 只有第一位置可以使用new关键字","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10046","FileMeta","Error","true","false","false","Error 不允许在成员变量中使用this关键字","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10047","FileMeta","Error","true","false","false","Error 不允许在输入变量中中使用this关键字","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10048","FileMeta","Error","true","false","false","Error 不允许this的函数形式!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10049","FileMeta","Error","true","false","false","Error 只有第一位置可以使用This关键字","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10050","FileMeta","Error","true","false","false","Error 不允许在成员变量中使用base关键字","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10051","FileMeta","Error","true","false","false","Error 不允许在输入变量中中使用base关键字","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10052","FileMeta","Error","true","false","false","Error 使用base没有找到父节点!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10053","FileMeta","Error","true","false","false","Error 不允许base的函数形式!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10054","FileMeta","Error","true","false","false","Error 只有第一位置可以使用base关键字","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10055","FileMeta","Error","true","false","false","Error 没有发该RetMC的类别MetaCommon","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10056","FileMeta","Error","true","false","false","Error 调用非静态成员，不能使用Class.Variable的方式!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10057","FileMeta","Error","true","false","false","Error 不允许使用构造函数","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10058","FileMeta","Error","true","false","false","Error 调用非静态成员，不能使用Class.Variable的方式!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10059","FileMeta","Error","true","false","false","不能使用Enum.metaVariable(2) 这样的格式!","0","检查 enum 成员赋值规则与成员类型一致性。"
"10060","FileMeta","Error","true","false","false","Error 不能使用Enum.xxxx未发现后续!","0","检查 enum 成员赋值规则与成员类型一致性。"
"10061","FileMeta","Error","true","false","false","没有推算出相当的类型","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10062","FileMeta","Error","true","false","false","Error 函数没有返回类型","0","检查函数签名、参数数量与静态/实例调用方式。"
"10063","FileMeta","Error","true","false","false","Error 暂不支持上节点的类型: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10064","FileMeta","Error","true","false","false","Error 函数调用与命名空间冲突!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10065","FileMeta","Error","true","false","false","Error 没有找到 关于类中","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10066","FileMeta","Error","true","false","false","Error 在InputParam 里边，构建函数，只允许 使用ClassName() 的方式, ","0","检查函数签名、参数数量与静态/实例调用方式。"
"10067","FileMeta","Error","true","false","false","Error 当前位置不允许有函数调用方式使用!!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10068","FileMeta","Error","true","false","false","Error 在InputParam 里边，构建函数，只允许 使用ClassName() 的方式, ","0","检查函数签名、参数数量与静态/实例调用方式。"
"10069","FileMeta","Error","true","false","false","Error 使用函数调用与当前节点不吻合!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10070","FileMeta","Error","true","false","false","Error 1 静态调用，不能调用非静态字段!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10071","FileMeta","Error","true","false","false","Error !! 非函数类型!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10072","FileMeta","Error","true","false","false","数组下标记超过了！","0","检查数组维度、下标范围和初始化格式。"
"10073","FileMeta","Error","true","false","false","非数组的处理！","0","检查数组维度、下标范围和初始化格式。"
"10074","FileMeta","Error","true","false","false","没有找到适合的访问节点的变量一类的！","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10075","FileMeta","Error","true","false","false","Error 没有发该RetMC的类别MetaCommon","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10076","FileMeta","Error","true","true","false","第一位的成员变量名称必须是个静态变量才可以哇!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10077","FileMeta","Error","true","true","false","第一位的成员函数名称必须是个静态函数才可以哇!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10078","FileMeta","Error","true","false","false","没有发现实体的模板类!!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10079","FileMeta","Error","true","false","false","Error 设置notStatic时，没有找到相应的变量!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10080","FileMeta","Error","true","false","false","已绑定过了继承类 : ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10081","FileMeta","Error","true","false","false","已绑定过了继承类 : ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10082","FileMeta","Error","true","false","false","没有发现继承类的类型!!! ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10083","FileMeta","Error","true","false","false","没有找到接口相关的定义类!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10084","FileMeta","Assert","true","true","true","严重错误，必须在接口类型中，要实现接口的函数","0","检查函数签名、参数数量与静态/实例调用方式。"
"10085","FileMeta","Error","true","false","false","Error MetaClass MemberVarAndFunc已有定义类: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10086","FileMeta","Error","true","false","false","Error MetaClass MemberVarAndFunc已有定义类: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10087","FileMeta","Error","true","false","false","Error MetaClass MemberVarAndFunc已有定义类: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10088","FileMeta","Error","true","false","false","没有找发现默认构造函数","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10089","FileMeta","Error","true","false","false","重复添加接口","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10090","FileMeta","Error","true","false","false","Error MetaData MetaDataMember已有定义类: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10091","FileMeta","Error","true","false","false","Error Data中不允许有Variable 和 Function!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10092","FileMeta","Error","true","false","false","Error Enum中不允许有Function!!","0","检查 enum 成员赋值规则与成员类型一致性。"
"10093","FileMeta","Error","true","false","false","Error 在Enum定义中，不允许使用Template模板的形式!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10094","FileMeta","Error","true","false","false","Error Enum MetaMemberData已有定义类: ","0","检查 enum 成员赋值规则与成员类型一致性。"
"10095","FileMeta","Warning","true","false","false","Warning 在enum : ","0","检查 enum 成员赋值规则与成员类型一致性。"
"10096","FileMeta","Warning","true","true","false","Warning Enum Member Enum 成员第一位必须有=号","0","检查 enum 成员赋值规则与成员类型一致性。"
"10097","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用const值类变量","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10098","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10099","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10100","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10101","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10102","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10103","FileMeta","Error","true","false","false","Error Enum Member Enum 内部int转byte出错","0","检查 enum 成员赋值规则与成员类型一致性。"
"10104","FileMeta","Error","true","true","false","Error Enum Member Enum String成员必须有=号","0","检查 enum 成员赋值规则与成员类型一致性。"
"10105","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用const值类变量","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10106","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用string值类变量","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10107","FileMeta","Error","true","true","false","Error Enum Member Enum 动态成员第一位必须有=号","0","检查 enum 成员赋值规则与成员类型一致性。"
"10108","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用data值类变量, 不允许其它类型","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10109","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用data new 值类变量","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10110","FileMeta","Error","true","true","false","Error Enum Member Enum 成员第一位必须有=号","0","检查 enum 成员赋值规则与成员类型一致性。"
"10111","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用data值类变量, 不允许其它类型","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10112","FileMeta","Error","true","false","false","Error Enum Member Enum 内允许使用data new 值类变量","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10113","FileMeta","Error","true","false","false","没有找到模板中定义的模板内容!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10114","FileMeta","Error","true","false","false","Error 没有解析到Express的内容 在MetaMemberData 里边 372","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10115","FileMeta","Error","true","false","false","Error 在生成Data时，没有找到.","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10116","FileMeta","Error","true","true","true","Error 当前有循环引用数量现象，请查正!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10117","FileMeta","Error","true","false","false","Error ParseChildMemberData 命名有重名!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10118","FileMeta","Error","true","false","false","Error 重复的MetaMemberData的名称 在484","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10119","FileMeta","Error","true","false","false","Error 重复的MetaMemberData的名称 在410","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10120","FileMeta","Error","true","false","false","error 暂不支持其它类型 1","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10121","FileMeta","Error","true","false","false","error 暂不支持其它类型 1","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10122","FileMeta","Error","true","false","false","Error ENum中，不允许有静态关键字，而是全部是静态关键字!!","0","检查 enum 成员赋值规则与成员类型一致性。"
"10123","FileMeta","Error","true","false","false","没有找到定义变量名称!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10124","FileMeta","Error","true","false","false","Error Enum中，不允许使用public/private等权限关键字!!","0","检查 enum 成员赋值规则与成员类型一致性。"
"10125","FileMeta","Error","true","false","false","Error 没有解析到Express的内容 在MetaMemberData 里边 372","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10126","FileMeta","Error","true","false","false","Error 现在配置中，不支持成员变量中使用类的()构造方式!!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10127","FileMeta","Error","true","false","false","Error 在类变量中，不允许 使用Class()后带{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10128","FileMeta","Error","true","false","false","Error 在类没有定义的变量中，不允许 使用()的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10129","FileMeta","Error","true","false","false","Error 在类没有定义的变量中，不允许 使用{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10130","FileMeta","Error","true","false","false","Error 在类变量中，不允许 使用Class()后带{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10131","FileMeta","Error","true","false","false","发现已经定义过某某类1","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10132","FileMeta","Error","true","false","false","发现已经定义过某某类2","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10133","FileMeta","Error","true","false","false","Error 没有查找到inClass的类名, ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10134","FileMeta","Error","true","false","false","Error 当前类:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10135","FileMeta","Error","true","false","false","Error FileMetaConditionExpressSyntax: 暂不支持该类型的解析!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10136","FileMeta","Error","true","false","false","Error 如果使用了var/data/dynamic/int 等前缀，有重复定义的行为","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10137","FileMeta","Error","true","true","false","Error 构造函数中，不允许使用定义字段，必须使用this.非静态或者是类名.静态字段赋值!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10138","FileMeta","Error","true","false","false","Error 定义变量名称与类函数临时名称一样!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10139","FileMeta","Error","true","false","false","Error 定义变量名称与类定义名称一样 如果调用成员变量，需要在前边使用this.!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10140","FileMeta","Error","true","false","false","Error 生成MetaStatements出错KeyReturnSyntax类型错误!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10141","FileMeta","Warning","true","false","false","Waning 还有没有解析的语句!! MetaMemberFunction 314","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10142","FileMeta","Error","true","false","false","没有找到定义变量名称!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10143","FileMeta","Error","true","false","false","Error 命名有重名!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10144","FileMeta","Error","true","true","false","Error 表达式为空 或者 表达示必须有返回值","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10145","FileMeta","Error","true","true","false","Error 自己类内部不允许包含 自己的实体，必须赋值为null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10146","FileMeta","Error","true","false","false","Error 表达式中返回定义类型为空 ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10147","FileMeta","Error","true","true","false","Error 自己类内部不允许包含 自己的实体2，必须赋值为null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10148","FileMeta","Error","true","true","false","Error 自己类内部不允许包含 自己的实体3，必须赋值为null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10149","FileMeta","Error","true","false","false","Error 现在配置中，不支持成员变量中使用类的()构造方式!!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10150","FileMeta","Error","true","false","false","Error 在类变量中，不允许 使用{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10151","FileMeta","Error","true","false","false","Error 在类变量中，不允许 使用Class()后带{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10152","FileMeta","Error","true","false","false","Error 在类没有定义的变量中，不允许 使用()的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10153","FileMeta","Error","true","false","false","Error 在类没有定义的变量中，不允许 使用{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10154","FileMeta","Error","true","false","false","Error 在类变量中，不允许 使用Class()后带{}的赋值方式!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10155","FileMeta","Error","true","false","false","添加命名空间","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10156","FileMeta","Error","true","false","false","添加add metaclass metanode节点有问题! 有重复:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10157","FileMeta","Error","true","false","false","添加 add metanode metanode节点有问题! 有重复","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10158","FileMeta","Error","true","false","false","Error Params 模式下，只允许 使用一个参数，多余参数为无效模式","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10159","FileMeta","Error","true","true","false","Error AddMetaDefineParam 参数前边已定义表达式，后边必须跟进默认值表达式!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10160","FileMeta","Error","true","false","false","全都相似","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10161","FileMeta","Error","true","false","false","Error 定义模式名称重复!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10162","FileMeta","Error","true","false","false","没有找到父级别自己模板生成时的数据!!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10163","FileMeta","Error","true","false","false","没有找到父级别自己模板生成时的数据!!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10164","FileMeta","Error","true","false","false","Error 没有找到合适的Template","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10165","FileMeta","Error","true","false","false","Error MetaDefineType RetMetaClass is Null MetaMemberVariable Only MetaClass","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10166","FileMeta","Error","true","false","false","Error MetaDefineType RetMetaClass is Null MetaMemberVariable Only MetaClass","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10167","FileMeta","Error","true","false","false","Error MetaDefineType RetMetaClass is Null MetaMemberVariable Only MetaClass","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10168","FileMeta","Error","true","false","false","注册生成类是空!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10169","FileMeta","Error","true","false","false","Error VisitMetaVariable访问变量访问位置不能同时为空!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10170","FileMeta","Error","true","false","false","Error VisitMetaVariable访问变量访问位置不能同时为空!!","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10171","FileMeta","Error","true","false","false","Error ---------","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10172","FileMeta","Error","true","false","false","Error","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10173","FileMeta","Error","true","false","false","Error MetaVisiCall IsNull!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10174","FileMeta","Assert","true","true","true","Error 严重错误，获取模式不传名称!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10175","FileMeta","Assert","true","true","true","Error 严重错误，模块有重名!!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10176","FileMeta","Error","true","false","false","Error 在使用namespace 时，在项目定义中，没有找到相关的定义!!  位置:","0","检查命名空间声明格式与分号/块结构。"
"10177","FileMeta","Error","true","false","false","NamespaceManager::AddNamespaceString 命名空间:","0","检查命名空间声明格式与分号/块结构。"
"10178","FileMeta","Error","true","false","false","MetaClass is Null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10179","FileMeta","Error","true","false","false","MetaClass is Null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10180","FileMeta","Error","true","false","false","MetaClass is Null","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10181","FileMeta","Error","true","false","false","没有找到模板中定义的模板内容!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10182","FileMeta","Error","true","false","false","没有找到模板类中，对应的模板，请仔细检查模板的命名与使用模板命名是否对应","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10183","FileMeta","Error","true","false","false","使用模板类中使用.连接符号，模板中不允许使用.","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10184","FileMeta","Error","true","false","false","没有找到相对应的模板类!!","0","检查模板定义与使用是否匹配，确认约束与实参数量正确。"
"10185","FileMeta","Error","true","false","false","----fmtd.nameList.count > 1 ","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10186","FileMeta","Error","true","false","false","------------没有找到调用的方法体!!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10187","FileMeta","Error","true","false","false","没有找到构建对象函数!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10188","FileMeta","Error","true","false","false","没有找到构建对象函数!","0","检查函数签名、参数数量与静态/实例调用方式。"
"10189","FileMeta","Error","true","false","false","没有找到对应成员变量的Index","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10190","FileMeta","Error","true","false","false","没有找到对应成员变量的Index","0","检查变量是否已定义、作用域与赋值表达式类型。"
"10191","FileMeta","Error","true","false","false","Error 解析namespace添加命名空间节点时，发现已有定义类!!","0","检查命名空间声明格式与分号/块结构。"
"10192","FileMeta","Error","true","false","false","Error 暂不允许使用namespace 定义命名空间!!!","0","检查命名空间声明格式与分号/块结构。"
"10193","FileMeta","Error","true","false","false","Error 错误 !!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10194","FileMeta","Error","true","false","false","Error 已有继承类,请勿多重继承!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10195","FileMeta","Error","true","false","false","Error 继承关键字后边没有相应的内容!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10196","FileMeta","Error","true","false","false","Error 继承只能单继承，不能多继承!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10197","FileMeta","Error","true","false","false","接口关键字后边没有相应的内容!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10198","FileMeta","Error","true","false","false","Error 字符两次赋值 107","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
